"Category","Annual number of days","Five-year running average"
"1855-56",118,
"1856-57",151,
"1857-58",121,
"1858-59",96,
"1859-60",110,119
"1860-61",117,119
"1861-62",132,115
"1862-63",104,112
"1863-64",125,118
"1864-65",118,119
"1865-66",125,121
"1866-67",123,119
"1867-68",110,120
"1868-69",127,121
"1869-70",131,123
"1870-71",99,118
"1871-72",126,119
"1872-73",144,125
"1873-74",136,127
"1874-75",126,126
"1875-76",91,125
"1876-77",130,125
"1877-78",62,109
"1878-79",112,104
"1879-80",99,99
"1880-81",161,113
"1881-82",78,102
"1882-83",124,115
"1883-84",119,116
"1884-85",124,121
"1885-86",128,115
"1886-87",131,125
"1887-88",113,123
"1888-89",88,117
"1889-90",75,107
"1890-91",111,104
"1891-92",97,97
"1892-93",112,97
"1893-94",101,99
"1894-95",101,104
"1895-96",91,100
"1896-97",110,103
"1897-98",100,101
"1898-99",130,106
"1899-00",111,108
"1900-01",107,112
"1901-02",105,111
"1902-03",89,108
"1903-04",126,108
"1904-05",108,107
"1905-06",97,105
"1906-07",94,103
"1907-08",83,102
"1908-09",106,98
"1909-10",98,96
"1910-11",101,96
"1911-12",108,99
"1912-13",99,102
"1913-14",88,99
"1914-15",115,102
"1915-16",102,102
"1916-17",116,104
"1917-18",115,107
"1918-19",82,106
"1919-20",110,105
"1920-21",81,101
"1921-22",96,97
"1922-23",125,99
"1923-24",104,103
"1924-25",105,102
"1925-26",124,111
"1926-27",103,112
"1927-28",106,108
"1928-29",96,107
"1929-30",107,107
"1930-31",98,102
"1931-32",65,94
"1932-33",115,96
"1933-34",91,95
"1934-35",94,93
"1935-36",101,93
"1936-37",121,104
"1937-38",105,102
"1938-39",97,104
"1939-40",105,106
"1940-41",96,105
"1941-42",82,97
"1942-43",116,99
"1943-44",114,103
"1944-45",92,100
"1945-46",98,100
"1946-47",101,104
"1947-48",104,102
"1948-49",96,98
"1949-50",109,102
"1950-51",122,106
"1951-52",114,109
"1952-53",81,104
"1953-54",85,102
"1954-55",92,99
"1955-56",114,97
"1956-57",111,97
"1957-58",95,99
"1958-59",126,108
"1959-60",105,110
"1960-61",108,109
"1961-62",117,110
"1962-63",112,114
"1963-64",113,111
"1964-65",120,114
"1965-66",65,105
"1966-67",98,102
"1967-68",91,97
"1968-69",108,96
"1969-70",113,95
"1970-71",110,104
"1971-72",105,105
"1972-73",97,107
"1973-74",105,106
"1974-75",107,105
"1975-76",88,100
"1976-77",115,102
"1977-78",123,108
"1978-79",118,110
"1979-80",99,109
"1980-81",93,110
"1981-82",96,106
"1982-83",54,92
"1983-84",111,91
"1984-85",85,88
"1985-86",107,91
"1986-87",89,89
"1987-88",87,96
"1988-89",97,93
"1989-90",93,95
"1990-91",88,91
"1991-92",99,93
"1992-93",108,97
"1993-94",94,96
"1994-95",74,93
"1995-96",119,99
"1996-97",102,99
"1997-98",47,87
"1998-99",82,85
"1999-00",53,81
"2000-01",115,80
"2001-02",21,64
"2002-03",89,72
"2003-04",80,72
"2004-05",101,81
"2005-06",95,77
"2006-07",66,86
"2007-08",106,90
"2008-09",97,93
"2009-10",87,90
"2010-11",109,93
"2011-12",57,91
"2012-13",87,87
"2013-14",117,91
"2014-15",91,92
"2015-16",62,83
"2016-17",65,84
"2017-18",94,86
"2018-19",86,80
"2019-20",70,75
"2020-21",76,78
"2021-22",85,82
"2022-23",98,83
